"","Acestrorhynchus pantaneiro","Aquatic insects","Astyanax sp","Auchenipterus nuchalis","Birds","Caymans","Chaetobranchopsis australis","Curimatella sp","Gymnogeophagus balzanii","Hemiodus orthonops","Hemisorubim platyrhynchos","Hoplias malabaricus","Hypostomus plecostomus","Leporinus sp","Loricaria sp","Loricariichthys sp","Mammals","Moenkhausia sp","Pimelodella sp","Pimelodus sp","Plagioscion ternetzi","Potamorhina squamoralevis","Psectrogaster curviventris","Pseudoplatystoma corruscans","Pseudoplatystoma reticulatus","Roeboides sp","Schizodon borellii","Serrasalmus sp","Steindachnerina sp","Sturisoma robustum","Terrestrial insects","Tetragonopterus argenteus","Trachydoras paraguayensis","Triportheus sp","Zooplankton"
"Leporinus sp",0.042,0,0,0,0.023,0,0,0,0,0,0.06,0.012,0,0,0,0,0,0,0,0,0.022,0,0,0.015,0.002,0,0,0.007,0,0,0,0,0,0,0
"Loricaria sp",0,0,0,0,0,0,0,0,0,0,0.069,0,0,0,0,0,0,0,0,0,0.052,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0
"Loricariichthys sp",0.143,0,0,0,0,0,0,0,0,0,0.082,0,0,0,0,0,0,0,0,0,0.076,0,0,0.082,0.035,0,0,0.041,0,0,0,0,0,0,0
"Macrophytes",0,0.2,0.057,0,0,0,0,0.025,0,0.7,0,0,0,0.065,0,0,0,0.00058,0.022,0,0,0,0,0,0,0.093,0.5,0.038,0,0,0.4,0.03,0,0,0
"Moenkhausia sp",0,0,0,0,0.292,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0.034,0,0,0,0,0.065,0.064,0.021,0,0.071,0,0,0,0,0,0,0
"Phytoplankton",0,0,0.052,0,0,0,0.04,0,0.014,0.26,0,0,0,0.001,0,0,0,0.003,0.067,0,0,0,0,0,0,0,0,0,0.092,0,0,0,0.065,0.039,0.4
"Pimelodella sp",0.111,0,0,0,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.255,0,0,0.074,0,0,0,0,0,0,0
"Pimelodus sp",0.088,0,0,0,0.024,0,0,0,0,0,0.074,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0
"Plagioscion ternetzi",0.037,0,0,0,0,0,0,0,0,0,0.008,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0.004,0,0,0,0,0,0,0
"Potamorhina squamoralevis",0.095,0,0,0,0,0,0,0,0,0,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.041,0,0,0.037,0,0,0,0,0,0,0
"Psectrogaster curviventris",0.223,0,0,0,0.073,0,0,0,0,0,0.31,0.054,0,0,0,0,0,0,0,0,0.276,0,0,0.068,0.089,0,0,0.058,0,0,0,0,0,0,0
"Pseudoplatystoma corruscans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudoplatystoma reticulatus",0,0,0,0,0,0.448,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roeboides sp",0,0,0,0,0.119,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0.099,0,0,0.006,0.008,0,0,0.047,0,0,0,0,0,0,0
"Schizodon borellii",0.016,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.013,0.013,0,0,0.005,0,0,0,0,0,0,0
"Serrasalmus sp",0.055,0,0,0,0,0.01,0,0,0,0,0,0.207,0,0,0,0,0.01,0,0,0,0.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steindachnerina sp",0.035,0,0,0,0.014,0,0,0,0,0,0.047,0.007,0,0,0,0,0,0,0,0,0.042,0,0,0.014,0.008,0.004,0,0.017,0,0,0,0,0,0,0
"Sturisoma robustum",0.02,0,0,0,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0.078,0,0,0,0,0,0,0,0,0,0,0
"Terrestrial insects",0,0,0.055,0.018,0,0,0,0,0.257,0.02,0,0.068,0,0,0,0,0,0.163,0.053,0.3,0,0,0,0,0.013,0,0,0.048,0,0,0,0.032,0.054,0.41,0
"Tetragonopterus argenteus",0,0,0,0,0.006,0,0,0,0,0,0.029,0.01,0,0,0,0,0,0,0.006,0,0,0,0,0,0.01,0,0,0.02,0,0,0,0,0,0,0
"Trachydoras paraguayensis",0,0,0,0,0.088,0,0,0,0,0,0.15,0.162,0,0,0,0,0,0,0,0,0.028,0,0,0.039,0.153,0.03,0,0.07,0,0,0,0,0,0,0
"Triportheus sp",0,0,0,0,0.046,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0,0,0,0,0,0,0
"Zooplankton",0,0,0,0.026,0,0,0.5,0,0.243,0,0,0,0,0,0,0,0,0.564,0.011,0.06,0,0,0,0,0,0.217,0,0,0,0,0,0.08,0.532,0.135,0
